StimTrig,Event,LatStim,MidStim,Hemifield,TrialType,Timepoint
141,Learn,NonPred,Predictor,Left,Switch,FirstHalf
103,Search,None,Target,None,Switch,FirstHalf
107,Search,None,Target,None,Rep,FirstHalf
142,Learn,NonPred,Predictor,Right,Switch,FirstHalf
135,Learn,Predictor,NonPred,Left,Rep,FirstHalf
146,Learn,NonPred,Predictor,Right,Rep,FirstHalf
103,Search,None,Target,None,Switch,FirstHalf
116,Search,Target,Distractor,Right,Rep,FirstHalf
116,Search,Target,Distractor,Right,Rep,FirstHalf
131,Learn,Predictor,NonPred,Left,Switch,FirstHalf
103,Search,None,Target,None,Switch,FirstHalf
132,Learn,Predictor,NonPred,Right,Switch,FirstHalf
135,Learn,Predictor,NonPred,Left,Rep,FirstHalf
101,Search,Target,None,Left,Switch,FirstHalf
115,Search,Target,Distractor,Left,Rep,FirstHalf
142,Learn,NonPred,Predictor,Right,Switch,FirstHalf
146,Learn,NonPred,Predictor,Right,Rep,FirstHalf
103,Search,None,Target,None,Switch,FirstHalf
126,Search,Distractor,Target,Right,Rep,FirstHalf
142,Learn,NonPred,Predictor,Right,Switch,FirstHalf
135,Learn,Predictor,NonPred,Left,Rep,FirstHalf
121,Search,Distractor,Target,Left,Switch,FirstHalf
126,Search,Distractor,Target,Right,Rep,FirstHalf
132,Learn,Predictor,NonPred,Right,Switch,FirstHalf
121,Search,Distractor,Target,Left,Switch,FirstHalf
115,Search,Target,Distractor,Left,Rep,FirstHalf
132,Learn,Predictor,NonPred,Right,Switch,FirstHalf
146,Learn,NonPred,Predictor,Right,Rep,FirstHalf
111,Search,Target,Distractor,Left,Switch,FirstHalf
126,Search,Distractor,Target,Right,Rep,FirstHalf
142,Learn,NonPred,Predictor,Right,Switch,FirstHalf
112,Search,Target,Distractor,Right,Switch,FirstHalf
131,Learn,Predictor,NonPred,Left,Switch,FirstHalf
102,Search,Target,None,Right,Switch,FirstHalf
125,Search,Distractor,Target,Left,Rep,FirstHalf
112,Search,Target,Distractor,Right,Switch,FirstHalf
107,Search,None,Target,None,Rep,FirstHalf
125,Search,Distractor,Target,Left,Rep,FirstHalf
141,Learn,NonPred,Predictor,Left,Switch,FirstHalf
135,Learn,Predictor,NonPred,Left,Rep,FirstHalf
103,Search,None,Target,None,Switch,FirstHalf
115,Search,Target,Distractor,Left,Rep,FirstHalf
132,Learn,Predictor,NonPred,Right,Switch,FirstHalf
136,Learn,Predictor,NonPred,Right,Rep,FirstHalf
112,Search,Target,Distractor,Right,Switch,FirstHalf
107,Search,None,Target,None,Rep,FirstHalf
142,Learn,NonPred,Predictor,Right,Switch,FirstHalf
136,Learn,Predictor,NonPred,Right,Rep,FirstHalf
103,Search,None,Target,None,Switch,FirstHalf
131,Learn,Predictor,NonPred,Left,Switch,FirstHalf
122,Search,Distractor,Target,Right,Switch,FirstHalf
131,Learn,Predictor,NonPred,Left,Switch,FirstHalf
103,Search,None,Target,None,Switch,FirstHalf
126,Search,Distractor,Target,Right,Rep,FirstHalf
115,Search,Target,Distractor,Left,Rep,FirstHalf
132,Learn,Predictor,NonPred,Right,Switch,FirstHalf
136,Learn,Predictor,NonPred,Right,Rep,FirstHalf
111,Search,Target,Distractor,Left,Switch,FirstHalf
116,Search,Target,Distractor,Right,Rep,FirstHalf
141,Learn,NonPred,Predictor,Left,Switch,FirstHalf
145,Learn,NonPred,Predictor,Left,Rep,FirstHalf
121,Search,Distractor,Target,Left,Switch,FirstHalf
112,Search,Target,Distractor,Right,Switch,FirstHalf
125,Search,Distractor,Target,Left,Rep,FirstHalf
141,Learn,NonPred,Predictor,Left,Switch,FirstHalf
135,Learn,Predictor,NonPred,Left,Rep,FirstHalf
135,Learn,Predictor,NonPred,Left,Rep,FirstHalf
121,Search,Distractor,Target,Left,Switch,FirstHalf
116,Search,Target,Distractor,Right,Rep,FirstHalf
135,Learn,Predictor,NonPred,Left,Rep,FirstHalf
102,Search,Target,None,Right,Switch,FirstHalf
126,Search,Distractor,Target,Right,Rep,FirstHalf
132,Learn,Predictor,NonPred,Right,Switch,FirstHalf
145,Learn,NonPred,Predictor,Left,Rep,FirstHalf
111,Search,Target,Distractor,Left,Switch,FirstHalf
115,Search,Target,Distractor,Left,Rep,FirstHalf
126,Search,Distractor,Target,Right,Rep,FirstHalf
132,Learn,Predictor,NonPred,Right,Switch,FirstHalf
146,Learn,NonPred,Predictor,Right,Rep,FirstHalf
145,Learn,NonPred,Predictor,Left,Rep,FirstHalf
103,Search,None,Target,None,Switch,FirstHalf
126,Search,Distractor,Target,Right,Rep,FirstHalf
126,Search,Distractor,Target,Right,Rep,FirstHalf
141,Learn,NonPred,Predictor,Left,Switch,FirstHalf
101,Search,Target,None,Left,Switch,FirstHalf
126,Search,Distractor,Target,Right,Rep,FirstHalf
132,Learn,Predictor,NonPred,Right,Switch,FirstHalf
145,Learn,NonPred,Predictor,Left,Rep,FirstHalf
135,Learn,Predictor,NonPred,Left,Rep,FirstHalf
145,Learn,NonPred,Predictor,Left,Rep,FirstHalf
103,Search,None,Target,None,Switch,FirstHalf
132,Learn,Predictor,NonPred,Right,Switch,FirstHalf
146,Learn,NonPred,Predictor,Right,Rep,FirstHalf
121,Search,Distractor,Target,Left,Switch,FirstHalf
107,Search,None,Target,None,Rep,FirstHalf
106,Search,Target,None,Right,Rep,FirstHalf
132,Learn,Predictor,NonPred,Right,Switch,FirstHalf
135,Learn,Predictor,NonPred,Left,Rep,FirstHalf
146,Learn,NonPred,Predictor,Right,Rep,FirstHalf
136,Learn,Predictor,NonPred,Right,Rep,FirstHalf
121,Search,Distractor,Target,Left,Switch,FirstHalf
125,Search,Distractor,Target,Left,Rep,FirstHalf
132,Learn,Predictor,NonPred,Right,Switch,FirstHalf
145,Learn,NonPred,Predictor,Left,Rep,FirstHalf
101,Search,Target,None,Left,Switch,FirstHalf
141,Learn,NonPred,Predictor,Left,Switch,FirstHalf
135,Learn,Predictor,NonPred,Left,Rep,FirstHalf
103,Search,None,Target,None,Switch,FirstHalf
125,Search,Distractor,Target,Left,Rep,FirstHalf
116,Search,Target,Distractor,Right,Rep,FirstHalf
142,Learn,NonPred,Predictor,Right,Switch,FirstHalf
145,Learn,NonPred,Predictor,Left,Rep,FirstHalf
146,Learn,NonPred,Predictor,Right,Rep,FirstHalf
135,Learn,Predictor,NonPred,Left,Rep,FirstHalf
102,Search,Target,None,Right,Switch,FirstHalf
126,Search,Distractor,Target,Right,Rep,FirstHalf
116,Search,Target,Distractor,Right,Rep,FirstHalf
142,Learn,NonPred,Predictor,Right,Switch,FirstHalf
101,Search,Target,None,Left,Switch,FirstHalf
105,Search,Target,None,Left,Rep,FirstHalf
